direction,point_id,x_fish,y_fish,alpha,beta
center,0,647,214,56.83250824487775,50.24570028511253
center,1,670,299,52.00343500191567,68.0361649260413
center,2,679,404,50.0194406950335,91.59114027119459
center,3,669,507,52.765402283816115,114.44395478041653
center,4,645,592,58.19752131500958,131.81248639090825
center,5,570,189,50.08286838126376,34.5085229876684
center,6,590,282,39.596867044919705,54.79620991747452
center,7,600,405,34.43697446371435,92.64762966529223
center,8,589,527,41.2422676318951,128.74596725608353
center,9,568,617,51.861266727854954,147.34382051082372
center,10,465,173,45.04007042248064,9.628156128486694
center,11,473,268,27.391239475423525,19.62568271477933
center,12,476,406,10.06393496566492,100.40771131249005
center,13,472,541,30.073498305632377,162.64597536373867
center,14,465,634,47.60541636107326,170.89086647972255
center,15,350,175,46.59489333959595,-19.12894182087352
center,16,337,270,31.031334696732806,-35.323728900227735
center,17,330,405,19.565867563507155,265.2852454812951
center,18,337,539,33.423801093868015,212.36663806472498
center,19,349,631,48.93153149862672,198.43494882292202
center,20,252,194,53.203731213414606,-40.763605200941186
center,21,230,286,44.82388749322641,-60.600837806615516
center,22,220,404,41.12366473406234,268.0631996137789
center,23,230,521,46.15534340975266,237.81198059055495
center,24,253,610,54.60727224649482,219.24543466889781
