direction,point_id,x_fish,y_fish,alpha,beta
center,0,281,228,44.26631840660253,-40.82390947239543
center,1,364,218,37.65260201883397,-19.3897900767942
center,2,457,216,36.49386869764484,9.410981917543111
center,3,544,226,41.13911195959682,34.380344723844864
center,4,615,242,48.33150931378999,50.495507479157
center,5,267,308,36.41748216357864,-60.91500026477533
center,6,356,301,23.88053600738476,-36.48601207024966
center,7,460,300,20.591949638821582,18.78862198216848
center,8,555,306,31.310189429546586,54.58955170914824
center,9,628,316,42.94143514005968,68.05130091647302
center,10,262,403,32.82181097396084,267.91743472026917
center,11,354,404,14.766969693839282,264.5226312711711
center,12,462,404,7.2386273190298995,101.30993247402021
center,13,560,404,26.63681662661663,93.01278750418334
center,14,634,403,41.11738765301356,91.6602823689828
center,15,268,497,37.266474415361365,237.83294741422415
center,16,357,507,26.076809620810593,212.47119229084848
center,17,460,508,23.16031087874254,163.44292862436333
center,18,555,501,32.78484500494129,129.0938588862295
center,19,628,490,43.8944691807002,114.8293465881496
center,20,281,576,45.79826836581648,219.20214561484033
center,21,363,588,39.987467033805935,198.52489502770302
center,22,457,589,38.56592337768395,171.11934084947976
center,23,543,580,42.93358974283114,147.63021606257664
center,24,614,564,49.74299552280458,131.76638787511214
