direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,281.1310704235177,229.33670004249646,281,228,1.3431107398614421
center,1,364.0339533928394,218.70960058829905,364,218,0.7104124349979176
center,2,457.1050664626716,216.81727239353265,457,216,0.8239982565569538
center,3,544.2128547810814,226.42156006103423,544,226,0.47224997923600426
center,4,615.2871591872505,242.26875060057404,615,242,0.39330304363336765
center,5,266.7231229624782,308.83472082765525,267,308,0.8794428656986762
center,6,355.9631836738915,301.97777493813703,356,301,0.9784678183348722
center,7,460.1571388806443,300.0179517076758,460,300,0.15816096743073219
center,8,555.2942733927719,306.5411015144,555,306,0.6159445418050475
center,9,628.0856684170284,316.44933679846906,628,316,0.45743047136649767
center,10,261.96419291613995,403.7740182404249,262,403,0.7748460387489813
center,11,353.7214286120351,404.17836516211423,354,404,0.3307811198492691
center,12,462.2994692345612,404.45090743170044,462,404,0.5412941292969512
center,13,560.4317531049887,404.28725648836786,560,404,0.5185817522597983
center,14,634.4605886404697,403.24214257812906,634,403,0.5203603788459849
center,15,267.92227142841665,497.64946680575974,268,497,0.6541015690427234
center,16,356.81036812385287,507.0277701274159,357,507,0.1916544505817114
center,17,460.0403278217502,507.8997134655069,460,508,0.10809126795328824
center,18,555.0480706396758,501.1509944786741,555,501,0.1584617272053202
center,19,628.1825702905935,490.0606042354324,628,490,0.19236627656566888
center,20,280.7724109311577,576.3876841600227,281,576,0.44955065586537263
center,21,362.87830723695515,588.6214842803009,363,588,0.6332865380210277
center,22,457.0503681576839,589.658409060445,457,589,0.6603328268264205
center,23,543.1015106562284,580.4209357097948,543,580,0.4330026386851971
center,24,614.3016330431325,563.8643434289395,614,564,0.3307343314221509
