direction,point_id,x_fish,y_fish,alpha,beta
center,0,284,281,36.52662080615055,-50.95142227887939
center,1,341,275,29.752973051272466,-35.180699361242105
center,2,405,271,25.48124312851117,-9.904183212973876
center,3,471,272,26.403584663211127,19.392068510781655
center,4,532,276,31.84122344730301,40.95041829672862
center,5,279,340,31.51939469788161,-68.93655154786964
center,6,336,335,21.92271554554524,-55.73266455665578
center,7,403,334,13.383323032546539,-20.854458039578347
center,8,473,335,15.340207252495025,36.57303097851933
center,9,537,337,24.959928172283334,61.38954033403478
center,10,276,404,30.032432915661946,267.34580448659335
center,11,334,403,18.53866948041088,266.3086140135487
center,12,403,404,5.0,253.73979529168807
center,13,473,404,9.205912099305474,98.65254179111473
center,14,539,403,22.332119828495927,93.0664855011259
center,15,279,467,32.5438543852125,244.68711619812586
center,16,337,471,23.203218661807213,230.5721978039638
center,17,404,474,15.972336482291553,196.6309537067214
center,18,473,473,17.66738585161025,148.81502534126162
center,19,537,469,26.19372548727167,123.20657031508952
center,20,285,525,37.935062442737035,227.96823402987172
center,21,341,532,31.813122309453043,212.49864594447968
center,22,405,535,27.848524111301476,189.05788812861766
center,23,471,534,28.678464170278442,162.19464978548825
center,24,532,529,33.53366271248943,141.49934627965456
east,0,612,489,40.922633023562284,116.44103453198038
east,1,617,403,37.71894264705425,91.80873932249206
east,2,612,316,40.09108812597155,66.35437736489811
east,3,672,516,53.97421408336241,115.90650799951439
east,4,683,402,50.709764693855014,91.11891593056718
east,5,672,288,53.13058828690955,66.01581629737377
east,6,752,553,73.20020804408264,115.64100582430528
east,7,779,403,71.110226529958,90.97653803576156
east,8,752,252,72.06375789564547,65.95577673063218
north,0,320,611,47.351854718495495,206.56505117707798
north,1,401,619,44.30346742703523,186.67988606322257
north,2,486,616,44.861657818029535,164.92212985606355
north,3,292,667,59.97383539249432,206.56505117707798
north,4,395,683,57.05692834055689,186.38416393951246
north,5,504,677,57.57891183553632,164.62374875117382
north,6,260,733,77.04265453726967,206.4284703165618
north,7,388,764,75.41327793832218,186.0658872969965
north,8,528,753,75.61499898662342,164.1609435826059
south,0,484,190,42.54088960419894,15.395549253995085
south,1,398,188,41.800473930988026,-7.899691614265237
south,2,317,196,45.32619338326062,-28.690286545018324
south,3,503,128,55.40599252316338,15.776465345183254
south,4,392,123,54.74527129085349,-7.279382691645495
south,5,289,139,58.01768963313572,-28.141601232261735
south,6,525,50,73.21463097042098,15.770780732536778
south,7,384,40,72.97409327544776,-6.868086324398291
south,8,257,72,74.75529974037322,-27.613027823084465
west,0,202,321,46.997789422245745,-71.33617444704433
west,1,197,403,45.515649511878024,268.5056664087335
west,2,203,486,47.70663854698852,248.33101503789607
west,3,143,299,59.68660416432268,-70.96195998269746
west,4,133,404,58.32499645792002,268.63607246839706
west,5,144,508,60.39802628375365,248.5835899570958
west,6,75,274,76.361387439992,-70.7389606278524
west,7,56,405,75.91724866902572,268.7647029311214
west,8,77,533,77.09886816723672,248.7652958657461
