direction,point_id,x_fish,y_fish,alpha,beta
south,0,611,55,80.30665217059497,28.280771190774573
south,1,576,119,62.982485683428806,28.190027534602756
south,2,543,180,48.81178720591237,28.12727609392038
south,3,518,224,38.79475668168303,27.74488899790805
south,4,479,14,79.85417198186533,7.731784654506512
south,5,466,97,60.30487583658031,7.406912128495222
south,6,456,169,45.56737973824481,7.248698357573829
south,7,447,219,35.624014292091836,6.410840020232442
south,8,328,22,80.16958166704265,-14.78867761416518
south,9,347,100,61.317152079724885,-15.075406268552172
south,10,363,170,46.769905660283015,-15.74517849977154
south,11,375,220,36.6960702514509,-16.372013329530077
