direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,300.68444139483483,293.710849906855,301,295,1.327209552387843
center,1,350.7750841096072,288.964759651815,351,290,1.0593912102058676
center,2,406.88064089171274,286.66188183264376,407,288,1.3434309906131976
center,3,464.99676920749977,287.8044429254124,465,289,1.1955614399171075
center,4,519.2140030530786,291.74014678551214,519,293,1.2778996160819387
center,5,296.5971984076397,346.0525292007475,297,347,1.029538750239251
center,6,348.88249431791735,343.08928671688335,349,344,0.9182626363774232
center,7,405.8530715480742,342.4741061925848,406,344,1.5329513630553613
center,8,466.01114675130367,342.131986015073,466,343,0.8680855534413107
center,9,522.0959169592722,344.57356356161915,522,345,0.43709049298168834
center,10,294.70518829495967,402.45676082773844,295,403,0.618079881332678
center,11,346.87854686408804,402.00292432103083,347,403,1.004445505647109
center,12,404.57558692154566,401.64157939060334,405,402,0.55551039090494
center,13,467.0479439560314,402.09994329326116,467,402,0.11084802563793933
center,14,523.0650351548056,402.59867809703337,523,403,0.40655730366253195
center,15,296.61152801342394,458.3530871969865,297,459,0.7545903915748781
center,16,347.93286081660983,461.8587943429319,348,462,0.1563544292123896
center,17,405.9643948777855,462.5276712720373,406,462,0.5288711526084434
center,18,466.03421945660114,461.96326486291133,466,462,0.05020399891443267
center,19,522.1132965337697,460.0489789377355,522,460,0.1234303078904354
center,20,300.768288966799,510.79230689498104,301,511,0.3111694534807303
center,21,350.7847420021137,515.5761550857694,351,515,0.6150534029756868
center,22,406.96657243624355,517.9017784526319,407,518,0.10375391263019862
center,23,464.04356463234757,516.7590314905171,464,517,0.24487486550066218
center,24,519.2894436284616,513.2917703930777,519,513,0.41098366918136714
east,0,583.3850382390823,475.2978181810383,583,475,0.4867752196985196
east,1,586.1307943179403,402.6541927448729,586,403,0.3697158521135018
east,2,582.3086562618271,328.4589708502824,582,329,0.6228813922483187
east,3,628.4382707497302,496.3430741969926,628,496,0.5565798727147825
east,4,634.11169545341,402.2589874907524,634,402,0.2820467951930984
east,5,627.380429544048,307.89037516768076,627,309,1.173027666546719
east,6,695.4562998383283,528.0423761575641,695,527,1.1378741566256843
east,7,710.2757503538735,402.95510820347687,710,403,0.27938062040239964
east,8,695.2088549538373,276.4243989987745,695,278,1.5893831843847994
north,0,333.9553042673726,581.1174042505629,334,581,0.12562430722332707
north,1,403.9698413834301,586.2339719252363,404,586,0.23590761741031846
north,2,477.08793390648657,584.4449707347494,477,584,0.4535761531357366
north,3,311.8415210211588,626.0985566127563,312,626,0.1866252733488508
north,4,398.9745356603256,636.0471118799151,399,636,0.05355335492930354
north,5,491.09044882320205,632.5386171548203,491,632,0.5461587947523195
north,6,281.94669219823794,687.0505142889303,282,687,0.07343987414777717
north,7,392.9740545658695,707.346612388666,393,707,0.34758209609958696
north,8,511.0524581865888,700.2230793619071,511,700,0.2291642708824449
south,0,532.0669551313824,27.738711616702346,532,28,0.26973062277898635
south,1,509.081843367138,103.39007092863181,509,105,1.6120080494777038
south,2,489.053304720338,172.14133481368464,489,173,0.8603181361568011
south,3,474.99929449994306,220.8794604094925,475,222,1.1205398126015094
south,4,382.9460206104834,14.488340587873722,383,15,0.5144989101154569
south,5,389.80617497749716,97.24929649028502,390,99,1.7614002720212625
south,6,397.94700413534815,169.18284462978062,398,170,0.8188720661669758
south,7,401.8685457941639,219.57177969585774,402,221,1.4342571057506421
south,8,247.69978843550803,52.28647376252695,248,53,0.7741102473273185
south,9,279.45918804153365,117.15940238120311,280,119,1.9184048500618935
south,10,309.6357261253555,178.50077778459087,310,180,1.5428424115653467
south,11,331.751261572456,224.08004123735648,332,225,0.9529926181779513
west,0,232.81205198804108,331.8755679169368,233,333,1.1400315629933908
west,1,229.58103522384832,402.3749338591106,230,403,0.7524886471849016
west,2,233.90558282034482,473.4850724652111,234,474,0.5235121487585777
west,3,185.52810831691127,314.2349934171813,186,315,0.8988419395668517
west,4,179.64354301935705,403.2411233908418,180,404,0.8384242881599779
west,5,185.66698210187576,491.3927497667354,186,492,0.6925704052809415
west,6,122.26767539752495,290.5297986860688,123,292,1.6424954267441176
west,7,108.78737793232983,403.0661277786777,109,404,0.957771094478107
west,8,123.82018928157044,515.2388260625654,124,515,0.29894779246994363
