direction,point_id,x_fish,y_fish,alpha,beta
west,0,233,333,40.456823175572524,-71.74243692461027
west,1,230,403,39.11826987578222,268.25549015841113
west,2,234,474,41.15863327877855,248.24979316267462
west,3,186,315,50.4136523930468,-71.20918134645612
west,4,180,404,48.919834074994625,268.37666747490954
west,5,186,492,51.309651610486625,248.48609380424813
west,6,123,292,64.22448989304152,-70.94535697955686
west,7,109,404,63.41540693888548,268.73897580071747
west,8,124,515,64.94983341861739,248.72212389964
west,9,57,267,81.95202930676547,-70.6410058243053
west,10,35,404,81.91874850549975,268.9769698113322
west,11,58,540,83.1219440541638,248.81696299702423
