direction,point_id,x_fish,y_fish,alpha,beta
east,0,560,339,28.919303919977132,66.43845465222897
east,1,595,324,36.334955984687625,66.5139061957519
east,2,645,301,47.14031905854536,66.23289229541842
east,3,719,266,63.81171803483155,65.83755829190805
east,4,563,402,27.118376145538143,92.10551418885605
east,5,598,402,34.014616759507916,91.67483799052921
east,6,653,402,44.71106059362023,91.26739898523326
east,7,738,402,61.908038065831974,90.9210746585506
east,8,561,465,29.92664300500947,116.90609345593684
east,9,595,481,37.265942021996466,116.56505117707799
east,10,645,504,48.06871420986971,116.14299045398087
east,11,719,538,64.75213951752093,115.77481467464881
