direction,point_id,x_fish,y_fish,alpha,beta
north,0,273,706,69.47475561158713,206.49083388761215
north,1,304,643,54.50727224649482,206.56505117707798
north,2,328,593,43.516739405379354,206.7984339169299
north,3,346,558,35.7455267682413,206.707224035435
north,4,390,732,67.60741798941716,186.30264536890363
north,5,398,655,51.42494583531118,186.4133041428661
north,6,403,599,40.28414924758781,186.775656169399
north,7,407,561,32.84300228490141,186.9529574681739
north,8,519,723,68.01987994482181,164.24047783310715
north,9,496,651,52.141048621774246,164.8021579651467
north,10,480,597,40.98067181668272,165.1577729420889
north,11,469,560,33.46481843111589,165.55096987354057
