direction,point_id,x_fish,y_fish,alpha,beta
south,0,516,80,65.85134774626864,15.682463422653328
south,1,495,155,49.7744467895968,15.69492414342001
south,2,478,209,38.658952757999025,15.177726882255058
south,3,468,246,31.093449793846634,15.190885793293461
south,4,387,72,65.49045732013175,-7.016501744722916
south,5,395,151,49.114514005480295,-7.411492859178878
south,6,402,207,38.027535793473604,-7.495857639729863
south,7,404,245,30.546056657724414,-8.604481593092657
south,8,269,98,67.85368401393809,-27.85323123984118
south,9,302,163,52.55883526803052,-28.110599422147246
south,10,327,213,41.483648360666955,-28.52311860631204
south,11,344,248,33.91158161094263,-29.119861222924726
