direction,point_id,x_fish,y_fish,alpha,beta
north,0,335,748,73.7713442069251,194.68730384815598
north,1,355,672,56.45384771499639,194.67175079590183
north,2,371,611,43.8411573085515,194.66446148841112
north,3,381,570,35.60223456713282,194.89018236732713
north,4,387,541,29.790466707631047,195.52411099675425
north,5,476,754,73.169410986909,172.1847064532331
north,6,463,675,55.66424885789517,172.62146415732616
north,7,454,613,43.13619184081217,172.8749836510982
north,8,448,571,34.85253200554847,173.11827636936306
north,9,443,541,28.877232442039734,173.65980825409008
north,10,597,722,74.73294961055983,152.38697217691552
north,11,562,658,58.469379782332226,152.65012421993012
north,12,532,605,46.2,153.2150044924978
north,13,511,566,37.444933434833345,153.57072055815564
north,14,497,538,31.383964172257595,153.59772048591515
