direction,point_id,x_fish,y_fish,alpha,beta
east,0,558,353,27.53837911311009,71.43393978233078
east,1,582,345,32.498012171996024,71.4542277572322
east,2,615,333,39.41901307938051,71.20011484134734
east,3,661,317,49.0594783636059,71.12545024179667
east,4,722,295,62.32723764511769,70.92652282619667
east,5,559,401,26.412118430750684,91.73570458892839
east,6,584,401,31.310189429546586,91.45944935499227
east,7,618,401,37.908376045050645,91.19973623812137
east,8,666,402,47.41045910676868,91.1984816501185
east,9,734,402,61.20814278253333,90.93307352321845
east,10,558,449,28.08865019826242,111.65043281467022
east,11,582,458,33.11426121047862,111.48203832630776
east,12,614,470,39.8487235164457,111.32439736649363
east,13,660,486,49.483865126912534,110.9055693369155
east,14,722,509,63.00911186191737,110.78981750345747
