direction,point_id,x_fish,y_fish,alpha,beta
west,0,321,451,23.79243577274088,243.0041616059134
west,1,301,461,28.16446532308722,243.0723221489595
west,2,272,475,34.503890271841286,243.28727961506192
west,3,229,496,43.87414595449583,243.434948822922
west,4,165,529,58.37469642017758,243.26026710953343
west,5,320,402,21.423351745233518,267.3245733439709
west,6,299,402,25.61952380509833,267.76302093656227
west,7,269,402,31.515818825391825,268.1874473144844
west,8,223,402,40.51225306204008,268.59597278089575
west,9,149,402,55.2089920786198,268.9696114630116
west,10,321,352,23.031283073246264,-66.99740340664215
west,11,300,342,27.57959537276512,-66.58396924176958
west,12,272,329,33.652030958274864,-66.3124736632792
west,13,229,307,43.09896550494046,-65.55604521958347
west,14,164,277,57.516606610903764,-65.474030131722
