direction,point_id,x_fish,y_fish,alpha,beta
center,0,333,323,23.82655428598109,-51.78897457443878
center,1,372,322,18.501075237738274,-36.2538377374448
center,2,413,323,14.962536307010186,-10.713123022791038
center,3,453,323,15.586937240902063,19.35899417569472
center,4,491,323,19.467319693816016,40.8553762588957
center,5,331,363,20.268603290358424,-70.4975514933378
center,6,371,360,13.323859355639868,-56.54669054592733
center,7,412,360,7.884985911070852,-22.06789956241022
center,8,454,361,8.9,36.86989764584402
center,9,493,361,14.935956903370002,61.38954033403478
center,10,332,402,18.92629759044045,266.98721249581666
center,11,370,402,11.343775600735974,264.9868862449642
center,12,411,402,3.3526109228480423,252.6459753637387
center,13,454,402,5.491812087098393,100.4914770123316
center,14,494,402,13.33726162579266,94.26789330029081
center,15,333,443,20.830360723121807,243.92464441605125
center,16,371,444,14.521901381147392,229.9937439858234
center,17,411,443,9.640636529508736,199.17900802581073
center,18,453,443,10.467875850898325,150.52411099675425
center,19,493,442,15.876232346833216,124.28687697720896
center,20,334,482,25.09841264841895,227.5733594631768
center,21,371,481,20.09108714259834,213.69006752597977
center,22,412,482,17.16267650163207,190.00797980144137
center,23,453,484,18.060396471443017,163.36119432957372
center,24,493,482,21.423010941780426,142.17171216538708
